,team,league
0,ARI,NL
1,ATL,NL
2,BAL,AL
3,BOS,AL
4,CHC,NL
5,CHW,AL
6,CIN,NL
7,CLE,AL
8,COL,NL
9,DET,AL
10,HOU,AL
11,KCR,AL
12,LAA,AL
13,LAD,NL
14,MIA,NL
15,MIL,NL
16,MIN,AL
17,NYM,NL
18,NYY,AL
19,OAK,AL
20,PHI,NL
21,PIT,NL
22,SDP,NL
23,SEA,AL
24,SFG,NL
25,STL,NL
26,TBR,AL
27,TEX,AL
28,TOR,AL
29,WSN,NL
30,ARI,NL
31,ATL,NL
32,BAL,AL
33,BOS,AL
34,CHC,NL
35,CHW,AL
36,CIN,NL
37,CLE,AL
38,COL,NL
39,DET,AL
40,HOU,AL
41,KCR,AL
42,LAA,AL
43,LAD,NL
44,MIA,NL
45,MIL,NL
46,MIN,AL
47,NYM,NL
48,NYY,AL
49,OAK,AL
50,PHI,NL
51,PIT,NL
52,SDP,NL
53,SEA,AL
54,SFG,NL
55,STL,NL
56,TBR,AL
57,TEX,AL
58,TOR,AL
59,WSN,NL
60,ARI,NL
61,ATL,NL
62,BAL,AL
63,BOS,AL
64,CHC,NL
65,CHW,AL
66,CIN,NL
67,CLE,AL
68,COL,NL
69,DET,AL
70,HOU,AL
71,KCR,AL
72,LAA,AL
73,LAD,NL
74,MIA,NL
75,MIL,NL
76,MIN,AL
77,NYM,NL
78,NYY,AL
79,OAK,AL
80,PHI,NL
81,PIT,NL
82,SDP,NL
83,SEA,AL
84,SFG,NL
85,STL,NL
86,TBR,AL
87,TEX,AL
88,TOR,AL
89,WSN,NL
90,ARI,NL
91,ATL,NL
92,BAL,AL
93,BOS,AL
94,CHC,NL
95,CHW,AL
96,CIN,NL
97,CLE,AL
98,COL,NL
99,DET,AL
100,HOU,AL
101,KCR,AL
102,LAA,AL
103,LAD,NL
104,MIA,NL
105,MIL,NL
106,MIN,AL
107,NYM,NL
108,NYY,AL
109,OAK,AL
110,PHI,NL
111,PIT,NL
112,SDP,NL
113,SEA,AL
114,SFG,NL
115,STL,NL
116,TBR,AL
117,TEX,AL
118,TOR,AL
119,WSN,NL
120,ARI,NL
121,ATL,NL
122,BAL,AL
123,BOS,AL
124,CHC,NL
125,CHW,AL
126,CIN,NL
127,CLE,AL
128,COL,NL
129,DET,AL
130,HOU,AL
131,KCR,AL
132,LAA,AL
133,LAD,NL
134,MIA,NL
135,MIL,NL
136,MIN,AL
137,NYM,NL
138,NYY,AL
139,OAK,AL
140,PHI,NL
141,PIT,NL
142,SDP,NL
143,SEA,AL
144,SFG,NL
145,STL,NL
146,TBR,AL
147,TEX,AL
148,TOR,AL
149,WSN,NL
150,ARI,NL
151,ATL,NL
152,BAL,AL
153,BOS,AL
154,CHC,NL
155,CHW,AL
156,CIN,NL
157,CLE,AL
158,COL,NL
159,DET,AL
160,HOU,AL
161,KCR,AL
162,LAA,AL
163,LAD,NL
164,MIA,NL
165,MIL,NL
166,MIN,AL
167,NYM,NL
168,NYY,AL
169,OAK,AL
170,PHI,NL
171,PIT,NL
172,SDP,NL
173,SEA,AL
174,SFG,NL
175,STL,NL
176,TBR,AL
177,TEX,AL
178,TOR,AL
179,WSN,NL
180,ARI,NL
181,ATL,NL
182,BAL,AL
183,BOS,AL
184,CHC,NL
185,CHW,AL
186,CIN,NL
187,CLE,AL
188,COL,NL
189,DET,AL
190,HOU,AL
191,KCR,AL
192,LAA,AL
193,LAD,NL
194,MIA,NL
195,MIL,NL
196,MIN,AL
197,NYM,NL
198,NYY,AL
199,OAK,AL
200,PHI,NL
201,PIT,NL
202,SDP,NL
203,SEA,AL
204,SFG,NL
205,STL,NL
206,TBR,AL
207,TEX,AL
208,TOR,AL
209,WSN,NL
